#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T03:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T03:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T03:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T04:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T04:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T04:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T04:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T04:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T05:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T05:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T05:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T05:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T05:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T06:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T06:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T06:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T06:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T06:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T07:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T07:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T07:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T07:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T07:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T08:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T08:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T08:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T08:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T08:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T09:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T09:59:46Z
